er_sample_name	er_specimen_name	Avg_age	Avg_age_pm	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA02-1B	NA02-1Ba	19	0	67.73	0	570	30	1	-	-	14	0.93	6	0.02	0.32	0	2.63	1.71	t
NA02-1B	NA02-1Bb	19	0	68.95	200	560	30	1	-	-	11	0.83	5	0.05	0.36	-0.03	2.73	0.61	t
NA02-1B	NA02-1Bc	19	0	67.25	0	560	30	1	-	-	13	0.8	5	0.03	0.18	0	3.79	2.64	t
NA92-28C	NA92-28Ca	380	50	59.6	0	530	30	1	-	-	11	0.81	4	0.02	0.19	-0.02	1.82	0.96	t
NA92-28C	NA92-28Cb	380	50	58.4	0	530	30	1	-	-	11	0.82	4	0.02	0.22	0.13	1.96	0.4	t
NA92-28C	NA92-28Cc	380	50	61.74	0	560	30	1	-	-	13	0.97	5	0.04	0.19	0.07	2.04	0.4	t
NA92-28C	NA92-28Cf	380	50	68.13	0	560	30	1	-	-	13	0.99	5	0.03	0.24	-0.16	2.9	0.25	t
NA97-24	NA97-24a	400	30	58.84	350	580	30	1	-	-	10	0.82	6	0.03	0.28	0	3.8	0.26	t
NA97-24	NA97-24b	400	30	62.2	0	580	30	1	-	-	14	1	6	0.03	0.14	0.1	2.52	0.33	t
NA97-24	NA97-24d	400	30	58.59	0	545	30	1	-	-	12	0.78	5	0.04	0.41	0	4.23	0.76	t
NA97-24	NA97-24e	400	30	57.99	200	545	30	1	-	-	10	0.79	5	0.03	0.31	0	4.15	2.43	t
NA97-24	NA97-24f	400	30	56.35	200	560	30	1	-	-	11	0.96	5	0.04	0.39	0.16	3.92	0.79	t
NA97-24	NA97-24g	400	30	58.72	0	545	30	1	-	-	12	0.88	5	0.03	0.38	0	3.45	1.8	t
NA94-2	NA94-2a	400	30	55.59	100	460	30	1	-	-	7	0.95	3	0.02	0.59	0	1.86	0.81	t
NA94-2	NA94-2b	400	30	57.9	0	490	30	1	-	-	9	0.96	3	0.05	0.52	0.15	2.89	0.93	t
NA94-2	NA94-2c	400	30	59.4	0	510	30	1	-	-	10	0.99	4	0.03	0.54	0.16	1.54	0.79	t
NA94-2	NA94-2d	400	30	54.87	0	460	30	1	-	-	8	0.97	3	0.04	0.46	-0.04	1.44	1.1	t
NA94-2	NA94-2e	400	30	52.08	100	460	30	1	-	-	7	0.95	3	0.02	0.59	0.09	1.54	0.99	t
NA94-2	NA94-2f	400	30	62.41	0	490	30	1	-	-	9	0.98	3	0.03	0.57	-0.05	1.73	0.8	t
NA94-5	NA94-5b	1380	480	48.53	0	430	30	1	-	-	7	0.81	2	0.05	0.37	0.16	4.88	4.88	t
NA94-5	NA94-5c	1380	480	46.57	0	430	30	1	-	-	7	0.79	2	0.06	0.34	0	3.56	1.39	t
NA94-5	NA94-5f	1380	480	51.27	0	430	30	1	-	-	7	0.85	2	0.06	0.35	0.12	3.17	2.29	t
NA94-5	NA94-5h	1380	480	55.96	200	560	30	1	-	-	11	0.89	5	0.04	0.21	0	4.96	1.22	t
NA94-5	NA94-5i	1380	480	44.93	200	580	30	1	-	-	12	0.84	6	0.04	0.14	-0.04	2.86	0.97	t
NA92-42D	NA92-42Da	2080	220	58.76	0	400	30	1	-	-	6	0.92	2	0.08	0.46	-0.02	3.6	1.56	t
NA92-42D	NA92-42Db	2080	220	58.16	100	400	30	1	-	-	5	0.88	2	0.06	0.52	-0.08	2.02	2.37	t
NA92-42D	NA92-42Dc	2080	220	58.27	100	400	30	1	-	-	5	0.89	2	0.05	0.51	0	2.99	3.01	t
NA92-42D	NA92-42Dd	2080	220	64.15	0	430	30	1	-	-	7	0.95	2	0.04	0.48	0.04	1.76	1.6	t
NA92-42D	NA92-42De	2080	220	57.53	0	400	30	1	-	-	6	0.92	2	0.05	0.46	0.08	2.24	2.39	t
NA92-42D	NA92-42Df	2080	220	48.62	100	460	30	1	-	-	7	0.92	3	0.04	0.55	-0.1	3.92	2.37	t
