tab 	criteria
citations	criterion	criterion_operation	criterion_value	description	table_column
This study	IE-SAMP	>=	3.0	acceptance criteria for study	samples.int_n_specimens
This study	IE-SAMP	<=	4e-06	acceptance criteria for study	samples.int_abs_sigma
This study	IE-SAMP	<=	10.0	acceptance criteria for study	samples.int_abs_sigma_perc
This study	IE-SPEC	<=	0.1	acceptance criteria for study	specimens.int_b_beta
This study	IE-SPEC	>=	0.78	acceptance criteria for study	specimens.int_frac
This study	IE-SPEC	<=	0.6	acceptance criteria for study	specimens.int_gmax
This study	IE-SPEC	<=	10.0	acceptance criteria for study	specimens.int_dang
This study	IE-SPEC	<=	5.0	acceptance criteria for study	specimens.int_mad_free
This study	IE-SPEC	>=	3.0	acceptance criteria for study	specimens.int_n_measurements
This study	IE-SPEC	>=	1.0	acceptance criteria for study	specimens.int_n_ptrm
This study	IE-SPEC	<=	0.164	acceptance criteria for study	specimens.int_k_prime
This study	IE-SPEC	=	True	acceptance criteria for study	specimens.int_scat
