tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:04:09:10:00.00	168.2		g	31.9	3.089e-07	1	3	u	2.730e+02	SAN	0	0	0	0	2.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:04:12:01:00.00	168.2		g	32.1	3.017e-07	2	3	u	2.730e+02	SAN	0	0	0	0	3.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.6	2019:01:04:14:26:00.00	168.4		g	31.6	2.955e-07	3	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	3.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.3	2019:01:04:17:05:00.00	171.0		g	29.2	2.699e-07	4	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	4.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:05:09:55:00.00	169.7		g	31.8	2.710e-07	5	3	u	2.730e+02	SAN	0	0	0	0	4.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:05:12:19:00.00	168.7		g	32.7	2.059e-07	6	3	u	2.730e+02	SAN	0	0	0	0	5.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:05:14:31:00.00	169.3		g	30.9	2.021e-07	7	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	3.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.3	2019:01:05:16:39:00.00	169.1		g	25.6	1.776e-07	8	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	5.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	1.1	2019:01:05:19:05:00.00	167.9		g	20.3	1.520e-07	9	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	6.230e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.3	2019:01:06:09:42:00.00	170.2		g	28.9	1.566e-07	10	3	u	2.730e+02	SAN	0	0	0	0	6.230e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:06:11:49:00.00	170.4		g	29.8	1.497e-07	11	3	u	2.730e+02	SAN	0	0	0	0	6.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:06:14:00:00.00	167.7		g	21.7	1.394e-07	12	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	5.730e+02
cromwell	This study	Aniakchak	NA02-11Fa	NA02-11F	NA02-11Fa		NA02-11Fa:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.5	2019:01:06:16:15:00.00	169.3		g	16.5	1.306e-07	13	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	6.730e+02
