tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA02-1Ba	0	545	30	1.00	-1.00	-	72.1	1.200e+01	8.158e-01	5.000e+00	2.196e-02	3.660e-01	1.733e-02	3.769e+00	2.085e+00	t
NA02-1Ba	0	560	30	1.00	-1.00	-	71.2	1.300e+01	9.112e-01	5.000e+00	1.654e-02	3.277e-01	-3.590e-08	2.991e+00	2.069e+00	t
NA02-1Ba	0	570	30	1.00	-1.00	-	67.7	1.400e+01	9.384e-01	6.000e+00	2.499e-02	3.182e-01	-1.747e-08	2.631e+00	1.707e+00	t
NA02-1Ba	100	545	30	1.00	-1.00	-	72.7	1.100e+01	7.839e-01	5.000e+00	2.221e-02	3.809e-01	4.953e-02	3.408e+00	2.513e+00	t
NA02-1Ba	100	560	30	1.00	-1.00	-	71.6	1.200e+01	8.793e-01	5.000e+00	1.694e-02	3.396e-01	-2.475e-08	2.752e+00	2.343e+00	t
NA02-1Ba	200	560	30	1.00	-1.00	-	71.4	1.100e+01	8.555e-01	5.000e+00	1.853e-02	3.490e-01	-4.331e-08	2.843e+00	2.357e+00	t
NA02-1Ba	300	560	30	1.00	-1.00	-	71.2	1.000e+01	8.386e-01	5.000e+00	2.028e-02	3.561e-01	-3.414e-08	2.747e+00	2.241e+00	t
NA02-1Ba	350	560	30	1.00	-1.00	-	70.0	9.000e+00	7.952e-01	5.000e+00	1.215e-02	3.755e-01	-3.803e-07	2.751e+00	2.193e+00	t
NA02-1Ba	350	570	30	1.00	-1.00	-	66.1	1.000e+01	8.224e-01	6.000e+00	3.066e-02	3.631e-01	1.552e-01	2.437e+00	1.846e+00	t
NA02-1Bb	100	560	30	1.00	-1.00	-	69.1	1.200e+01	9.087e-01	5.000e+00	4.169e-02	3.432e-01	-2.054e-02	2.651e+00	6.441e-01	t
NA02-1Bb	200	560	30	1.00	-1.00	-	68.9	1.100e+01	8.646e-01	5.000e+00	4.571e-02	3.607e-01	-3.285e-02	2.725e+00	6.108e-01	t
NA02-1Bb	300	560	30	1.00	-1.00	-	69.4	1.000e+01	8.405e-01	5.000e+00	4.988e-02	3.711e-01	1.048e-03	2.707e+00	7.533e-01	t
NA02-1Bb	350	560	30	1.00	-1.00	-	69.7	9.000e+00	8.083e-01	5.000e+00	5.563e-02	3.859e-01	2.627e-02	2.814e+00	7.706e-01	t
NA02-1Bc	0	560	30	1.00	-1.00	-	67.3	1.300e+01	8.056e-01	5.000e+00	2.744e-02	1.780e-01	-3.090e-08	3.793e+00	2.639e+00	t
NA92-28Ca	0	530	30	1.00	-1.00	-	59.6	1.100e+01	8.079e-01	4.000e+00	2.049e-02	1.934e-01	-1.633e-02	1.817e+00	9.554e-01	t
NA92-28Ca	0	545	30	1.00	-1.00	-	57.1	1.200e+01	8.756e-01	5.000e+00	2.859e-02	1.784e-01	-3.018e-08	1.633e+00	8.319e-01	t
NA92-28Ca	100	545	30	1.00	-1.00	-	57.3	1.100e+01	8.414e-01	5.000e+00	3.435e-02	1.857e-01	1.535e-01	1.339e+00	5.026e-01	t
NA92-28Cb	0	530	30	1.00	-1.00	-	58.4	1.100e+01	8.191e-01	4.000e+00	2.176e-02	2.226e-01	1.268e-01	1.960e+00	3.998e-01	t
NA92-28Cc	0	530	30	1.00	-1.00	-	67.3	1.100e+01	9.565e-01	4.000e+00	2.608e-02	1.934e-01	-1.542e-01	2.419e+00	8.165e-01	t
NA92-28Cc	0	545	30	1.00	-1.00	-	64.8	1.200e+01	9.640e-01	5.000e+00	3.014e-02	1.919e-01	-4.169e-02	2.178e+00	6.105e-01	t
NA92-28Cc	0	560	30	1.00	-1.00	-	61.7	1.300e+01	9.677e-01	5.000e+00	3.920e-02	1.911e-01	6.962e-02	2.042e+00	4.043e-01	t
NA92-28Cc	100	510	30	1.00	-1.00	-	68.2	9.000e+00	8.201e-01	4.000e+00	2.945e-02	2.255e-01	-1.455e-01	1.791e+00	1.699e+00	t
NA92-28Cc	100	530	30	1.00	-1.00	-	69.1	1.000e+01	9.092e-01	4.000e+00	2.347e-02	2.034e-01	-1.248e-01	1.714e+00	1.183e+00	t
NA92-28Cc	100	545	30	1.00	-1.00	-	65.8	1.100e+01	9.167e-01	5.000e+00	3.323e-02	2.017e-01	-2.735e-07	1.594e+00	9.172e-01	t
NA92-28Cc	200	545	30	1.00	-1.00	-	66.1	1.000e+01	7.802e-01	5.000e+00	4.056e-02	2.370e-01	-5.537e-08	1.547e+00	7.576e-01	t
NA92-28Cf	0	560	30	1.00	-1.00	-	68.1	1.300e+01	9.907e-01	5.000e+00	3.381e-02	2.413e-01	-1.625e-01	2.904e+00	2.518e-01	t
NA92-28Cf	100	560	30	1.00	-1.00	-	69.4	1.200e+01	9.256e-01	5.000e+00	3.433e-02	2.582e-01	3.237e-08	2.093e+00	6.296e-01	t
NA92-28Cf	200	545	30	1.00	-1.00	-	72.1	1.000e+01	8.472e-01	5.000e+00	4.116e-02	2.821e-01	5.470e-08	2.286e+00	6.732e-01	t
NA92-28Cf	200	560	30	1.00	-1.00	-	70.3	1.100e+01	8.574e-01	5.000e+00	3.722e-02	2.788e-01	3.118e-08	2.054e+00	5.561e-01	t
NA92-28Cf	300	545	30	1.00	-1.00	-	73.6	9.000e+00	7.968e-01	5.000e+00	4.260e-02	3.000e-01	6.925e-08	2.139e+00	5.376e-01	t
NA92-28Cf	300	560	30	1.00	-1.00	-	71.6	1.000e+01	8.069e-01	5.000e+00	3.973e-02	2.962e-01	9.793e-07	1.919e+00	4.680e-01	t
NA92-57Ba	0	545	30	1.00	-1.00	-	83.4	1.200e+01	7.951e-01	5.000e+00	3.418e-02	1.664e-01	-5.284e-08	3.051e+00	4.066e+00	t
NA92-57Bb	0	545	30	1.00	-1.00	-	80.2	1.200e+01	7.842e-01	5.000e+00	3.825e-02	1.301e-01	1.126e-01	3.385e+00	2.357e+00	t
NA92-57Bb	0	560	30	1.00	-1.00	-	77.9	1.300e+01	8.742e-01	5.000e+00	3.412e-02	1.167e-01	1.494e-01	3.049e+00	2.116e+00	t
NA92-57Be	0	530	30	1.00	-1.00	-	81.7	1.100e+01	8.040e-01	4.000e+00	4.048e-02	2.176e-01	2.720e-02	2.997e+00	4.835e+00	t
NA92-57Be	100	530	30	1.00	-1.00	-	83.9	1.000e+01	7.871e-01	4.000e+00	4.634e-02	2.222e-01	1.144e-01	3.379e+00	5.000e+00	t
NA92-57Bf	0	560	30	1.00	-1.00	-	59.1	1.300e+01	8.712e-01	5.000e+00	2.449e-02	2.298e-01	1.576e-01	1.546e+00	1.463e+00	t
