tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
cromwell	This study		0.4	168.2	31.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		3.089e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI0	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	0	pmagpy-4.2.17	NA02-11Fa	u	2019-01-04T09:10:00Z	0	0.0	0.0	0.0	0	273.0
cromwell	This study		0.4	168.2	32.1	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		3.017e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI1	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	1	pmagpy-4.2.17	NA02-11Fa	u	2019-01-04T12:01:00Z	0	0.0	0.0	0.0	1	373.0
cromwell	This study		0.6	168.4	31.6	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.955e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI2	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	2	pmagpy-4.2.17	NA02-11Fa	u	2019-01-04T14:26:00Z	0	3e-05	0.0	-90.0	2	373.0
cromwell	This study		0.3	171.0	29.2	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.699e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI3	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	3	pmagpy-4.2.17	NA02-11Fa	u	2019-01-04T17:05:00Z	0	3e-05	0.0	-90.0	3	473.0
cromwell	This study		0.4	169.7	31.8	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.7100000000000003e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI4	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4	pmagpy-4.2.17	NA02-11Fa	u	2019-01-05T09:55:00Z	0	0.0	0.0	0.0	4	473.0
cromwell	This study		0.4	168.7	32.7	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.059e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI5	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	5	pmagpy-4.2.17	NA02-11Fa	u	2019-01-05T12:19:00Z	0	0.0	0.0	0.0	5	573.0
cromwell	This study		0.4	169.3	30.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.0210000000000002e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI6	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	6	pmagpy-4.2.17	NA02-11Fa	u	2019-01-05T14:31:00Z	0	3e-05	0.0	-90.0	6	373.0
cromwell	This study		0.3	169.1	25.6	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.7760000000000003e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI7	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	7	pmagpy-4.2.17	NA02-11Fa	u	2019-01-05T16:39:00Z	0	3e-05	0.0	-90.0	7	573.0
cromwell	This study		1.1	167.9	20.3	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.5199999999999998e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI8	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	8	pmagpy-4.2.17	NA02-11Fa	u	2019-01-05T19:05:00Z	0	3e-05	0.0	-90.0	8	623.0
cromwell	This study		0.3	170.2	28.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.566e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI9	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	9	pmagpy-4.2.17	NA02-11Fa	u	2019-01-06T09:42:00Z	0	0.0	0.0	0.0	9	623.0
