tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA02-1B	NA02-1Ba	67.73	0	570	30	1.00	-	-	14.00	0.93	6.00	0.02	0.32	-0.00	2.63	1.71	t
NA02-1B	NA02-1Bb	68.95	200	560	30	1.00	-	-	11.00	0.83	5.00	0.05	0.36	-0.03	2.73	0.61	t
NA02-1B	NA02-1Bc	67.25	0	560	30	1.00	-	-	13.00	0.80	5.00	0.03	0.18	-0.00	3.79	2.64	t
NA92-28C	NA92-28Ca	59.60	0	530	30	1.00	-	-	11.00	0.81	4.00	0.02	0.19	-0.02	1.82	0.96	t
NA92-28C	NA92-28Cb	58.40	0	530	30	1.00	-	-	11.00	0.82	4.00	0.02	0.22	0.13	1.96	0.40	t
NA92-28C	NA92-28Cc	61.74	0	560	30	1.00	-	-	13.00	0.97	5.00	0.04	0.19	0.07	2.04	0.40	t
NA92-28C	NA92-28Cf	68.13	0	560	30	1.00	-	-	13.00	0.99	5.00	0.03	0.24	-0.16	2.90	0.25	t
NA92-42D	NA92-42Da	58.76	0	400	30	1.00	-	-	6.00	0.92	2.00	0.08	0.46	-0.02	3.60	1.56	t
NA92-42D	NA92-42Db	58.16	100	400	30	1.00	-	-	5.00	0.88	2.00	0.06	0.52	-0.08	2.02	2.37	t
NA92-42D	NA92-42Dc	58.27	100	400	30	1.00	-	-	5.00	0.89	2.00	0.05	0.51	-0.00	2.99	3.01	t
NA92-42D	NA92-42Dd	64.15	0	430	30	1.00	-	-	7.00	0.95	2.00	0.04	0.48	0.04	1.76	1.60	t
NA92-42D	NA92-42De	57.53	0	400	30	1.00	-	-	6.00	0.92	2.00	0.05	0.46	0.08	2.24	2.39	t
NA92-42D	NA92-42Df	48.62	100	460	30	1.00	-	-	7.00	0.92	3.00	0.04	0.55	-0.10	3.92	2.37	t
NA94-2	NA94-2a	55.59	100	460	30	1.00	-	-	7.00	0.95	3.00	0.02	0.59	-0.00	1.86	0.81	t
NA94-2	NA94-2b	57.90	0	490	30	1.00	-	-	9.00	0.96	3.00	0.05	0.52	0.15	2.89	0.93	t
NA94-2	NA94-2c	59.40	0	510	30	1.00	-	-	10.00	0.99	4.00	0.03	0.54	0.16	1.54	0.79	t
NA94-2	NA94-2d	54.87	0	460	30	1.00	-	-	8.00	0.97	3.00	0.04	0.46	-0.04	1.44	1.10	t
NA94-2	NA94-2e	52.08	100	460	30	1.00	-	-	7.00	0.95	3.00	0.02	0.59	0.09	1.54	0.99	t
NA94-2	NA94-2f	62.41	0	490	30	1.00	-	-	9.00	0.98	3.00	0.03	0.57	-0.05	1.73	0.80	t
NA94-3	NA94-3a	71.28	100	400	30	1.00	-	-	5.00	0.95	2.00	0.02	0.50	-0.08	0.58	0.28	t
NA94-3	NA94-3b	72.67	100	350	30	1.00	-	-	4.00	0.94	1.00	0.04	0.50	0.16	0.35	0.66	t
NA94-3	NA94-3d	72.96	100	300	30	1.00	-	-	3.00	0.83	1.00	0.05	0.57	0.00	0.30	0.22	t
NA94-3	NA94-3e	72.13	100	430	30	1.00	-	-	6.00	0.96	2.00	0.03	0.48	0.14	0.47	0.24	t
NA94-3	NA94-3f	71.49	100	430	30	1.00	-	-	6.00	0.95	3.00	0.01	0.47	-0.07	0.47	0.24	t
NA94-3	NA94-3g	72.28	0	510	30	1.00	-	-	10.00	0.99	4.00	0.02	0.43	0.16	1.45	0.13	t
NA94-5	NA94-5b	48.53	0	430	30	1.00	-	-	7.00	0.81	2.00	0.05	0.37	0.16	4.88	4.88	t
NA94-5	NA94-5c	46.57	0	430	30	1.00	-	-	7.00	0.79	2.00	0.06	0.34	-0.00	3.56	1.39	t
NA94-5	NA94-5f	51.27	0	430	30	1.00	-	-	7.00	0.85	2.00	0.06	0.35	0.12	3.17	2.29	t
NA94-5	NA94-5h	55.96	200	560	30	1.00	-	-	11.00	0.89	5.00	0.04	0.21	-0.00	4.96	1.22	t
NA94-5	NA94-5i	44.93	200	580	30	1.00	-	-	12.00	0.84	6.00	0.04	0.14	-0.04	2.86	0.97	t
NA97-24	NA97-24a	58.84	350	580	30	1.00	-	-	10.00	0.82	6.00	0.03	0.28	-0.00	3.80	0.26	t
NA97-24	NA97-24b	62.20	0	580	30	1.00	-	-	14.00	1.00	6.00	0.03	0.14	0.10	2.52	0.33	t
NA97-24	NA97-24d	58.59	0	545	30	1.00	-	-	12.00	0.78	5.00	0.04	0.41	-0.00	4.23	0.76	t
NA97-24	NA97-24e	57.99	200	545	30	1.00	-	-	10.00	0.79	5.00	0.03	0.31	-0.00	4.15	2.43	t
NA97-24	NA97-24f	56.35	200	560	30	1.00	-	-	11.00	0.96	5.00	0.04	0.39	0.16	3.92	0.79	t
NA97-24	NA97-24g	58.72	0	545	30	1.00	-	-	12.00	0.88	5.00	0.03	0.38	-0.00	3.45	1.80	t
